144# Number of sensors
#x	z
10	26	6	22	13.4	0.0307463
10	26	22	5	-10.72	0.0309328
10	26	5	21	7.39	0.0313532
10	26	21	4	-6.43	0.0315552
10	26	4	20	5.23	0.031912
10	26	20	3	-4.81	0.032079
10	26	3	19	4.27	0.0323419
10	26	19	2	-3.95	0.0325316
10	26	2	18	3.76	0.0326596
10	26	18	1	-3.46	0.0328902
9	25	8	24	102	0.030098
9	25	24	7	-72.86	0.0301372
9	25	7	23	44.92	0.0302226
9	25	23	6	-34.66	0.0302885
9	25	6	22	24.15	0.0304141
9	25	22	5	-18.44	0.0305423
9	25	5	21	13.93	0.0307179
9	25	21	4	-11.93	0.0308382
9	25	4	20	8.18	0.0312225
9	25	20	3	-7.39	0.0313532
9	25	3	19	6.49	0.0315408
9	25	19	2	-5.96	0.0316779
9	25	2	18	5.63	0.0317762
9	25	18	1	-5.11	0.0319569
9	25	1	17	4.81	0.032079
8	24	7	23	106.68	0.0300937
8	24	23	6	-77.16	0.0301296
8	24	6	22	48.38	0.0302067
8	24	22	5	-34.63	0.0302888
8	24	5	21	24.44	0.0304092
8	24	21	4	-20.22	0.0304946
8	24	4	20	15.09	0.0306627
8	24	20	3	-13.48	0.0307418
8	24	3	19	9.99	0.031001
8	24	19	2	-9.09	0.0311001
8	24	2	18	8.51	0.0311751
8	24	18	1	-7.62	0.0313123
8	24	1	17	7.1	0.0314085
7	23	6	22	117.17	0.0300853
7	23	22	5	-77.14	0.0301296
7	23	5	21	47.99	0.0302084
7	23	21	4	-38.32	0.030261
7	23	4	20	26.17	0.0303821
7	23	20	3	-22.86	0.0304374
7	23	3	19	18.84	0.0305308
7	23	19	2	-16.95	0.03059
7	23	2	18	13.65	0.0307326
7	23	18	1	-12.01	0.0308326
7	23	1	17	11.05	0.030905
6	22	1	17	16.87	0.0305928
3	19	2	18	264.87	0.0300378
3	19	18	1	-183.87	0.0300544
3	19	1	17	136.73	0.0300731
2	18	1	17	826.44	0.0300121
32	48	31	47	64.09	0.030156
32	48	47	30	-45.45	0.03022
32	48	30	46	29.47	0.0303393
32	48	46	29	-22.51	0.0304442
32	48	29	45	13.44	0.030744
32	48	45	28	-10.65	0.030939
32	48	28	44	7.08	0.0314124
32	48	44	27	-5.73	0.0317452
32	48	27	43	3.95	0.0325316
32	48	43	26	-3.25	0.0330769
32	48	26	42	2.46	0.034065
32	48	42	25	-2.11	0.0347393
32	48	25	41	1.65	0.0360606
32	48	41	24	-1.44	0.0369444
32	48	24	40	1.15	0.0386957
32	48	40	23	-1.01	0.039901
31	47	30	46	89.15	0.0301122
31	47	46	29	-64.6	0.0301548
31	47	29	45	36.12	0.0302769
31	47	45	28	-27.57	0.0303627
31	47	28	44	17.86	0.0305599
31	47	44	27	-13.75	0.0307273
31	47	27	43	9.63	0.0310384
31	47	43	26	-7.68	0.0313021
31	47	26	42	5.11	0.0319569
31	47	42	25	-4.25	0.0323529
31	47	25	41	3.27	0.0330581
31	47	41	24	-2.77	0.0336101
31	47	24	40	2.18	0.0345872
31	47	40	23	-1.88	0.0353191
31	47	23	39	1.52	0.0365789
31	47	39	22	-1.33	0.0375188
30	46	29	45	84.62	0.0301182
30	46	45	28	-60.34	0.0301657
30	46	28	44	35.97	0.030278
30	46	44	27	-26.84	0.0303726
30	46	27	43	18.22	0.0305488
30	46	43	26	-14.05	0.0307117
30	46	26	42	10.24	0.0309766
30	46	42	25	-8.28	0.0312077
30	46	25	41	5.7	0.0317544
30	46	41	24	-4.7	0.0321277
30	46	24	40	3.67	0.0327248
30	46	40	23	-3.09	0.0332362
30	46	23	39	2.48	0.0340323
30	46	39	22	-2.14	0.0346729
30	46	22	38	1.79	0.0355866
30	46	38	21	-1.57	0.0363694
29	45	28	44	91.31	0.0301095
29	45	44	27	-64.88	0.0301541
29	45	27	43	38.74	0.0302581
29	45	43	26	-29.09	0.0303438
29	45	26	42	19.77	0.0305058
29	45	42	25	-15.73	0.0306357
29	45	25	41	11.44	0.0308741
29	45	41	24	-9.3	0.0310753
29	45	24	40	6.38	0.0315674
29	45	40	23	-5.29	0.0318904
29	45	23	39	4.15	0.0324096
29	45	39	22	-3.52	0.0328409
29	45	22	38	2.88	0.0334722
29	45	38	21	-2.51	0.0339841
29	45	21	37	2.1	0.0347619
29	45	37	20	-1.86	0.0353763
28	44	27	43	94.08	0.0301063
28	44	43	26	-67.56	0.030148
28	44	26	42	40.15	0.0302491
28	44	42	25	-31.17	0.0303208
28	44	25	41	21.05	0.0304751
28	44	41	24	-16.84	0.0305938
28	44	24	40	12.15	0.030823
28	44	40	23	-9.94	0.031006
28	44	23	39	6.78	0.0314749
28	44	39	22	-5.68	0.0317606
28	44	22	38	4.51	0.0322173
28	44	38	21	-3.89	0.0325707
