	Name	X Rx(m)	Y Rx(m)	Z Rx(m)	Tx<->Rx(m)	Loop	Freq.(Hz)	Moment(mA.m2)	Primary Field(mGamma)	HZ Ip(%)	HX Ip(%)	HY Ip(%)	HZ Op(%)	HX Op(%)	HY Op(%)	HZ Mod(mGamma)	HZ Q(mGamma)	HX Mod(mGamma)	HX Q(mGamma)	HY Mod(mGamma)	HY Q(mGamma)	HZ Ovld	HX Ovld
	MU2-100.  	-60.00	0.00	0.00	100.00	H	110.0	253824.6	25.38	5.20	1.69	8.51	14.00	-1.91	13.87	26.94	3.31	0.65	3.25	4.13	4.56	0	0
	MU2-100.  	-60.00	0.00	0.00	100.00	H	220.0	248508.1	24.85	7.36	-5.83	-2.07	7.55	-8.63	2.02	26.75	1.10	2.59	1.50	0.72	1.85	0	0
	MU2-100.  	-60.00	0.00	0.00	100.00	H	440.0	244850.5	24.49	12.50	-11.81	-0.97	6.83	-16.08	1.70	27.60	1.31	4.88	1.26	0.48	1.41	0	0
	MU2-100.  	-60.00	0.00	0.00	100.00	H	880.0	237896.5	23.79	18.93	-17.74	0.76	7.29	-26.54	2.57	28.35	0.52	7.59	0.62	0.64	0.61	0	0
	MU2-100.  	-60.00	0.00	0.00	100.00	H	1760.0	223093.9	22.31	26.75	-33.56	0.54	0.64	-35.94	3.81	28.28	0.44	10.97	0.33	0.86	0.38	0	0
	MU2-100.  	-60.00	0.00	0.00	100.00	H	3520.1	156372.3	15.64	28.65	-55.65	2.93	-14.84	-40.52	3.64	20.25	0.32	10.76	0.23	0.73	0.16	0	0
	MU2-100.  	-60.00	0.00	0.00	100.00	H	7040.1	110727.9	11.07	20.30	-79.62	4.15	-37.15	-35.41	1.58	13.94	0.21	9.65	0.20	0.49	0.09	0	0
	MU2-100.  	-60.00	0.00	0.00	100.00	H	14080.3	60046.5	6.00	-3.33	-102.83	7.37	-59.99	-20.57	3.67	6.83	0.12	6.30	0.15	0.49	0.18	0	0
	MU2-100.  	-60.00	0.00	0.00	100.00	H	28160.5	30021.1	3.00	-44.47	-115.67	11.59	-74.46	8.21	-2.65	2.79	0.09	3.48	0.10	0.36	0.20	0	0
	MU2-100.  	-60.00	0.00	0.00	100.00	H	56321.0	14738.0	1.47	-86.50	-103.94	22.31	-66.70	54.01	-8.19	1.00	0.13	1.73	0.08	0.35	0.08	0	0
	MU2-100.  	-40.00	0.00	0.00	100.00	H	110.0	253913.6	25.39	-0.68	-8.03	-1.92	2.62	7.66	4.63	25.23	3.32	2.82	4.14	1.27	2.69	0	0
	MU2-100.  	-40.00	0.00	0.00	100.00	H	220.0	248057.3	24.81	5.66	-8.54	0.12	7.21	-6.44	-0.90	26.27	0.89	2.65	2.16	0.23	1.99	0	0
	MU2-100.  	-40.00	0.00	0.00	100.00	H	440.0	244677.5	24.47	12.03	-15.05	-1.67	7.26	-18.37	-0.58	27.47	1.07	5.81	1.23	0.43	1.11	0	0
	MU2-100.  	-40.00	0.00	0.00	100.00	H	880.0	238050.5	23.81	18.31	-23.66	-3.72	5.06	-26.53	0.00	28.19	0.38	8.46	0.54	0.89	0.69	0	0
	MU2-100.  	-40.00	0.00	0.00	100.00	H	1760.0	223520.7	22.35	24.13	-40.94	-3.83	-2.08	-35.98	-0.63	27.75	0.45	12.18	0.35	0.87	0.25	0	0
	MU2-100.  	-40.00	0.00	0.00	100.00	H	3520.1	156341.2	15.63	24.22	-65.25	-4.19	-17.71	-40.04	0.07	19.62	0.31	11.97	0.27	0.66	0.16	0	0
	MU2-100.  	-40.00	0.00	0.00	100.00	H	7040.1	110686.5	11.07	14.83	-88.63	-1.31	-37.94	-34.93	0.64	13.39	0.18	10.54	0.14	0.16	0.05	0	0
	MU2-100.  	-40.00	0.00	0.00	100.00	H	14080.3	60126.4	6.01	-8.17	-110.07	-3.70	-59.17	-17.27	0.73	6.57	0.11	6.70	0.16	0.23	0.16	0	0
	MU2-100.  	-40.00	0.00	0.00	100.00	H	28160.5	30000.9	3.00	-49.02	-122.54	0.06	-69.80	10.83	0.44	2.59	0.11	3.69	0.14	0.01	0.28	0	0
	MU2-100.  	-40.00	0.00	0.00	100.00	H	56321.0	14952.9	1.50	-93.71	-113.19	-0.24	-56.85	57.23	-0.55	0.86	0.13	1.90	0.08	0.01	0.10	0	0
	MU2-100.  	-20.00	0.00	0.00	100.00	H	110.0	254103.3	25.41	11.08	-10.68	8.40	6.01	-12.22	0.36	28.27	3.68	4.12	5.71	2.14	4.41	0	0
	MU2-100.  	-20.00	0.00	0.00	100.00	H	220.0	248384.9	24.84	9.57	-3.42	-0.62	7.35	-8.36	-1.40	27.28	1.17	2.24	1.63	0.38	2.00	0	0
	MU2-100.  	-20.00	0.00	0.00	100.00	H	440.0	244442.8	24.44	13.11	-10.31	-5.51	7.47	-18.13	0.73	27.71	1.14	5.10	1.11	1.36	1.14	0	0
	MU2-100.  	-20.00	0.00	0.00	100.00	H	880.0	237971.3	23.80	19.27	-18.48	-2.74	7.65	-27.18	0.27	28.44	0.48	7.82	0.62	0.65	0.55	0	0
	MU2-100.  	-20.00	0.00	0.00	100.00	H	1760.0	223409.6	22.34	26.73	-36.47	-3.12	0.73	-37.95	-0.28	28.31	0.50	11.76	0.28	0.70	0.41	0	0
	MU2-100.  	-20.00	0.00	0.00	100.00	H	3520.1	156738.7	15.67	27.12	-61.24	-2.50	-15.30	-41.52	-0.49	20.07	0.33	11.60	0.20	0.40	0.13	0	0
	MU2-100.  	-20.00	0.00	0.00	100.00	H	7040.1	110642.5	11.06	18.69	-86.08	-0.93	-35.21	-38.26	0.40	13.70	0.18	10.42	0.16	0.11	0.09	0	0
	MU2-100.  	-20.00	0.00	0.00	100.00	H	14080.3	60077.6	6.01	-2.19	-108.76	-1.40	-55.86	-24.97	0.38	6.77	0.11	6.70	0.21	0.09	0.22	0	0
	MU2-100.  	-20.00	0.00	0.00	100.00	H	28160.5	30060.0	3.01	-41.62	-126.59	0.12	-66.00	-0.77	0.57	2.65	0.12	3.81	0.09	0.02	0.15	0	0
	MU2-100.  	-20.00	0.00	0.00	100.00	H	56321.0	14600.0	1.46	-83.65	-131.90	-1.80	-64.69	44.41	-1.59	0.97	0.12	2.03	0.08	0.04	0.08	0	0
	MU2-100.  	0.00	0.00	0.00	100.00	H	110.0	253697.7	25.37	-5.55	2.13	-7.39	10.23	-0.34	16.27	24.10	3.59	0.55	3.59	4.53	3.10	0	0
	MU2-100.  	0.00	0.00	0.00	100.00	H	220.0	248421.6	24.84	8.40	-8.48	-3.02	7.82	-10.88	1.75	27.00	1.26	3.43	2.08	0.87	1.64	0	0
	MU2-100.  	0.00	0.00	0.00	100.00	H	440.0	244320.9	24.43	12.50	-13.93	-7.16	9.47	-17.51	2.96	27.58	1.24	5.47	1.16	1.89	1.19	0	0
	MU2-100.  	0.00	0.00	0.00	100.00	H	880.0	238180.1	23.82	17.85	-24.15	-3.58	7.72	-29.90	1.23	28.13	0.43	9.15	0.56	0.90	0.56	0	0
	MU2-100.  	0.00	0.00	0.00	100.00	H	1760.0	223276.4	22.33	25.75	-44.18	-0.72	-0.41	-39.20	2.37	28.08	0.48	13.19	0.35	0.55	0.28	0	0
	MU2-100.  	0.00	0.00	0.00	100.00	H	3520.1	156850.2	15.69	25.22	-66.83	-0.30	-17.09	-42.49	2.86	19.82	0.33	12.42	0.24	0.45	0.17	0	0
	MU2-100.  	0.00	0.00	0.00	100.00	H	7040.1	110814.8	11.08	15.51	-93.19	1.23	-36.69	-37.13	1.56	13.43	0.19	11.12	0.17	0.22	0.05	0	0
	MU2-100.  	0.00	0.00	0.00	100.00	H	14080.3	60060.1	6.01	-7.81	-113.79	2.67	-57.56	-21.83	3.57	6.53	0.10	6.96	0.23	0.27	0.20	0	0
	MU2-100.  	0.00	0.00	0.00	100.00	H	28160.5	30041.9	3.00	-45.50	-129.02	3.64	-68.73	2.52	-1.11	2.64	0.09	3.88	0.10	0.11	0.18	0	0
	MU2-100.  	0.00	0.00	0.00	100.00	H	56321.0	14609.3	1.46	-90.23	-130.12	0.12	-62.05	45.99	-5.29	0.92	0.12	2.02	0.12	0.08	0.11	0	0
